exchange1,exchange2,average_arbitrage_percent,max_arbitrage_percent,opportunity_count
p2b,timex,2.2136897431515585,2.865058902859868,2
fmfwio,timex,2.1783657510883816,2.8841081274047013,3
bitcoincom,timex,2.1783657510883816,2.8841081274047013,3
bequant,timex,2.1783657510883816,2.8841081274047013,3
hollaex,timex,2.131553179734766,2.7728075046606704,3
coinsph,timex,2.067169399655626,3.1500237991352984,3
coinsph,woo,1.9831738797706255,2.6782724441616823,17
bigone,coinsph,1.9341542072814961,2.6255125679999316,18
ascendex,coinsph,1.9301549882168945,2.6746193982824598,18
coinsph,mexc,1.9296622300098296,2.6715371408218838,18
bitmart,coinsph,1.9275749335512533,2.673763215654525,18
coinsph,whitebit,1.9264940289073569,2.6668566757891443,18
ascendex,timex,1.9181559755520774,2.8626393241045602,4
coinsph,hollaex,1.9141353938937147,2.59768624280342,18
timex,whitebit,1.9100935559478263,2.8757685137439943,4
timex,xt,1.907624095237204,2.865058902859868,4
mexc,timex,1.9067598130685712,2.865058902859868,4
coinmetro,timex,1.8962691361508726,2.8972937305442046,4
coinex,timex,1.892086565967696,2.863313632937999,4
novadax,timex,1.8916404860828826,2.865058902859868,4
coinsph,probit,1.879445151460547,2.6772259987275273,19
coinsph,currencycom,1.874003389014679,2.677416261533734,19
currencycom,timex,1.8718649662814333,2.8292213716235035,4
coinsph,zonda,1.840321327819809,2.8206518907420737,23
coinmetro,coinsph,1.8353981091674314,2.687866933528644,20
indodax,timex,1.768058437306733,2.152339203972386,3
bigone,indodax,1.7430954870680515,5.825019199996813,11
coinsph,novadax,1.7260366275742527,2.5439560685667177,25
bitmart,indodax,1.7035466883747985,5.824984215079509,11
indodax,woo,1.6907684194876282,5.831946213621537,12
indodax,probit,1.6856215182557,5.825001707538161,12
coinsph,indodax,1.6676886716515151,3.693508351361889,43
indodax,novadax,1.589465410789372,5.351883178477655,22
coinmetro,indodax,1.5397968797006263,5.8266697442369,21
ascendex,indodax,1.5174095749673142,5.8136141169581155,22
indodax,mexc,1.5169233734058907,5.825001707538161,22
indodax,whitebit,1.516528051168014,5.823934667560613,22
indodax,zonda,1.5104045402636619,5.937352186980647,16
currencycom,indodax,1.4994428615936337,5.83357301227583,22
hollaex,indodax,1.4786165764733774,5.837071504005489,24
hollaex,novadax,1.436820715335575,2.126936368950176,10
currencycom,novadax,1.433504257872314,1.8228301886792426,8
ascendex,novadax,1.4005226685496013,1.82005660377358,9
novadax,woo,1.3997974757786822,1.8236792452830244,9
novadax,whitebit,1.3991200895644587,1.8123584905660435,9
mexc,novadax,1.3974000301018386,1.8170000000000037,9
bitmart,novadax,1.396982036710258,1.819207547169812,9
novadax,probit,1.3888005660917344,1.8226415094339623,9
bigone,novadax,1.3884136856462654,1.7713584905660371,9
coinmetro,novadax,1.375336702661925,1.8331938795339568,9
novadax,zonda,1.3288345777860107,1.8357876115670777,9
indodax,xt,1.3005814420930675,1.6878743065755966,13
coinex,indodax,1.292249112066496,1.6402473359086855,13
bequant,indodax,1.2877803820848632,1.6750840095203587,13
fmfwio,indodax,1.2877803820848632,1.6750840095203587,13
bitcoincom,indodax,1.2877803820848632,1.6750840095203587,13
indodax,p2b,1.2536813915864882,1.4587753932159058,7
bitcoincom,zonda,1.1568748324439972,1.1568748324439972,1
bequant,zonda,1.1568748324439972,1.1568748324439972,1
fmfwio,zonda,1.1568748324439972,1.1568748324439972,1
currencycom,zonda,1.0872018260386245,1.0872018260386245,1
coinex,zonda,1.0800073308119826,1.0800073308119826,1
coinmetro,zonda,1.0510005602285357,1.0510005602285357,1
probit,zonda,1.0396154517164256,1.0535230786998468,2
woo,zonda,1.0390517200902254,1.0390517200902254,1
hollaex,zonda,1.0344018042279433,1.0344018042279433,1
bigone,zonda,1.0268286513577942,1.0268286513577942,1
ascendex,zonda,1.0237690975982479,1.0237690975982479,1
mexc,zonda,1.0233298547317888,1.0233298547317888,1
bitmart,zonda,1.0233298547317888,1.0233298547317888,1
xt,zonda,1.0233147084260563,1.0233147084260563,1
whitebit,zonda,1.0192857910991318,1.0192857910991318,1
